aX,aY,aZ,gX,gY,gZ
-0.018,0.014,0.508,-3.174,2.686,-4.333
-0.016,0.010,0.509,-3.418,2.319,-4.761
-0.010,0.006,0.509,-3.601,1.831,-4.944
-0.009,0.005,0.507,-3.967,1.526,-5.371
-0.004,0.002,0.509,-4.883,1.038,-6.042
-0.007,-0.002,0.507,-6.165,0.793,-6.470
-0.001,-0.008,0.508,-6.775,0.488,-7.019
0.003,-0.014,0.511,-7.324,-0.061,-7.263
0.011,-0.020,0.510,-7.935,0.305,-6.775
0.013,-0.028,0.509,-7.874,1.160,-6.653
0.013,-0.035,0.508,-6.531,1.526,-6.409
0.016,-0.041,0.509,-5.188,1.526,-5.981
0.015,-0.036,0.514,-4.028,1.892,-5.310
0.022,-0.034,0.514,-2.625,2.136,-5.005
0.021,-0.029,0.518,-1.953,2.563,-4.395
0.026,-0.024,0.518,-1.648,2.930,-4.272
0.022,-0.021,0.518,-1.221,2.869,-3.906
0.015,-0.020,0.515,-1.526,2.930,-3.601
0.008,-0.018,0.512,-2.014,2.625,-4.089
0.004,-0.020,0.512,-2.319,2.747,-4.517
0.002,-0.021,0.511,-2.563,2.319,-5.005
0.002,-0.022,0.512,-2.686,2.441,-5.615
0.004,-0.020,0.504,-3.723,2.258,-5.371
0.006,-0.020,0.499,-3.784,2.075,-5.676
0.008,-0.026,0.485,-2.014,-1.221,-6.042
0.008,-0.026,0.490,-1.404,-2.075,-5.737
0.013,-0.021,0.501,-0.854,-2.197,-5.737
0.016,-0.021,0.509,-0.610,-2.258,-5.920
0.020,-0.021,0.516,-0.366,-2.075,-5.615
0.022,-0.016,0.522,-0.732,-2.747,-5.371
0.022,-0.010,0.523,-0.793,-1.892,-5.249
0.022,-0.008,0.519,-0.793,-2.563,-4.883
0.025,-0.003,0.519,-0.732,-2.747,-5.310
0.028,0.001,0.519,-1.343,-2.747,-5.676
0.031,0.006,0.522,-1.221,-3.357,-5.676
0.034,0.005,0.523,-0.854,-3.174,-6.165
0.032,0.010,0.531,-0.916,-2.991,-6.165
0.035,0.010,0.533,-0.977,-2.625,-5.981
0.034,0.007,0.538,-0.671,-1.526,-6.409
0.031,0.004,0.537,-0.488,-1.221,-6.958
0.027,0.000,0.532,0.427,-0.305,-7.751
0.025,-0.008,0.528,1.770,0.366,-8.911
0.025,-0.015,0.525,1.709,1.404,-9.460
0.029,-0.022,0.518,3.052,1.526,-9.766
0.030,-0.031,0.515,3.113,2.380,-9.827
