aX,aY,aZ,gX,gY,gZ
0.110,-0.298,-0.590,7.690,-31.189,-37.964
0.114,-0.292,-0.612,17.761,-33.142,-34.668
0.117,-0.278,-0.636,28.931,-35.706,-31.494
0.110,-0.267,-0.658,39.124,-39.795,-29.663
0.099,-0.259,-0.670,46.265,-43.701,-28.259
0.121,-0.263,-0.754,55.359,-63.782,-19.165
0.127,-0.255,-0.805,45.227,-74.646,-16.113
0.137,-0.260,-0.840,34.241,-86.670,-12.390
0.143,-0.270,-0.868,19.958,-103.271,-8.789
0.161,-0.279,-0.885,7.874,-120.667,-4.883
0.177,-0.290,-0.897,-4.944,-134.155,-2.014
0.202,-0.303,-0.901,-13.245,-150.513,1.587
0.225,-0.322,-0.905,-18.982,-161.926,4.639
0.256,-0.333,-0.916,-21.484,-176.392,8.362
0.284,-0.337,-0.929,-21.057,-188.843,11.047
0.313,-0.338,-0.968,-18.738,-203.552,13.672
0.339,-0.343,-0.921,-14.099,-216.797,15.564
0.373,-0.350,-0.882,-9.460,-230.835,17.029
0.433,-0.361,-0.845,-2.075,-241.943,18.433
0.443,-0.371,-0.801,4.944,-252.380,21.057
0.485,-0.388,-0.767,14.282,-262.146,24.048
0.517,-0.399,-0.724,22.766,-271.301,27.039
0.551,-0.403,-0.692,33.997,-279.114,30.457
0.578,-0.403,-0.639,43.823,-287.415,33.386
0.608,-0.409,-0.589,55.908,-294.983,37.415
0.729,-0.414,-0.435,92.224,-327.759,60.669
0.747,-0.396,-0.360,97.473,-341.370,67.749
0.766,-0.372,-0.269,99.060,-353.760,75.500
0.780,-0.354,-0.147,97.290,-367.126,82.092
0.800,-0.329,-0.041,93.018,-376.709,89.661
0.816,-0.308,0.079,87.585,-386.353,97.046
0.836,-0.272,0.170,80.078,-394.348,106.567
0.858,-0.233,0.300,71.777,-406.494,115.540
0.875,-0.159,0.439,60.913,-417.175,140.137
0.880,-0.082,0.643,49.072,-430.115,133.545
0.877,0.008,0.845,32.715,-439.087,138.428
0.881,0.069,1.095,19.958,-445.190,141.907
0.932,0.133,1.323,7.019,-442.932,142.517
0.941,0.183,1.568,-0.549,-429.382,142.639
0.940,0.268,1.740,-2.747,-416.504,139.465
0.913,0.335,1.919,-1.770,-399.658,132.385
0.881,0.427,2.071,2.747,-385.193,124.084
0.848,0.505,2.241,8.301,-369.263,111.328
0.824,0.569,2.455,14.038,-347.351,98.267
0.797,0.621,2.607,18.921,-324.585,80.688
0.792,0.614,2.845,27.039,-293.335,65.552
1.052,0.705,4.000,-32.166,-208.923,35.889
0.593,0.541,2.626,15.198,-205.322,30.212
0.569,0.427,2.486,53.223,-123.779,17.273
0.554,0.451,2.454,77.026,-112.732,6.531
0.554,0.478,2.454,71.533,-101.135,1.282
0.520,0.424,2.420,51.453,-82.031,1.221
0.474,0.396,2.355,47.485,-65.796,10.742
0.450,0.397,2.285,38.086,-52.307,4.517
0.422,0.389,2.162,28.748,-40.955,9.094
0.399,0.365,2.065,11.963,-34.485,12.390
0.378,0.353,1.967,-5.493,-32.166,3.723
0.255,0.341,1.853,-23.621,-34.729,9.705
0.368,0.352,1.809,-41.809,-37.659,20.020
0.453,0.299,1.874,-56.274,-30.884,16.052
0.261,0.336,1.665,-63.782,-43.762,23.071
0.276,0.298,1.656,-56.824,-45.105,4.761
0.363,0.191,1.780,-60.974,-26.611,9.949
0.393,0.218,1.752,-66.284,11.536,26.672
0.307,0.210,1.602,-60.181,18.494,30.334
0.254,0.218,1.466,-52.002,13.672,19.409
0.231,0.286,1.375,-45.898,6.042,9.277
0.235,0.320,1.364,-44.189,1.892,4.883
0.266,0.301,1.396,-46.387,2.808,-14.282
0.298,0.275,1.425,-50.293,12.207,-5.493
0.305,0.240,1.416,-51.880,20.691,-6.714
0.305,0.221,1.372,-49.866,32.227,-10.437
0.304,0.201,1.315,-48.645,40.588,-15.015
0.296,0.183,1.275,-49.683,46.936,-15.564
0.291,0.170,1.221,-48.828,53.589,-18.372
0.289,0.151,1.173,-48.950,57.983,-22.400
0.292,0.129,1.107,-49.133,64.148,-23.071
0.293,0.095,1.057,-49.377,67.444,-22.705
0.303,0.083,0.995,-50.659,72.449,-22.278
0.300,0.053,0.931,-51.147,75.012,-19.897
0.290,0.018,0.858,-50.659,77.209,-19.958
0.272,-0.010,0.816,-49.011,78.369,-19.287
0.263,-0.031,0.762,-47.913,79.468,-16.296
0.250,-0.061,0.718,-48.462,79.529,-13.550
0.239,-0.079,0.661,-47.791,80.505,-9.888
0.223,-0.086,0.611,-47.302,80.444,-3.723
0.158,-0.094,0.409,-39.490,71.411,4.028
0.156,-0.096,0.375,-36.560,68.481,5.432
0.145,-0.099,0.343,-32.471,65.369,7.751
0.135,-0.104,0.303,-28.931,60.547,8.484
0.130,-0.097,0.284,-23.071,56.580,9.705
0.139,-0.097,0.270,-1.038,53.284,8.789
0.096,-0.105,0.253,-7.629,50.720,8.179
0.107,-0.091,0.241,0.427,47.302,9.155
0.117,-0.068,0.257,8.118,45.593,10.437
0.125,-0.057,0.275,11.475,43.579,10.437
0.123,-0.043,0.287,15.381,42.664,10.315
0.111,-0.024,0.292,18.250,42.114,11.230
0.103,0.030,0.299,19.592,40.283,11.475
0.097,0.016,0.304,19.653,38.940,10.376
0.087,0.029,0.312,18.860,35.828,9.827
0.083,0.039,0.316,17.700,34.790,9.705
0.077,0.053,0.319,16.235,31.982,8.972
0.080,0.063,0.329,13.916,30.457,8.301
0.083,0.075,0.336,12.451,29.297,7.935
0.077,0.083,0.346,10.071,27.405,7.080
0.076,0.095,0.353,6.470,27.283,5.249
0.077,0.100,0.363,4.700,26.550,4.456
0.076,0.104,0.367,1.648,26.672,3.601
0.075,0.105,0.368,-1.648,25.391,1.770
0.073,0.099,0.370,-4.272,25.391,0.610
0.077,0.091,0.376,-5.432,24.231,-0.671
0.078,0.084,0.384,-5.737,25.146,-1.709
0.080,0.077,0.391,-5.676,26.428,-2.319
0.082,0.071,0.395,-5.188,27.161,-3.113
